Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
²¹	²¹	²¹	t	U+00b2 U+00b9	1250	Atsi	khjuŋ²¹
⁵⁵	⁵⁵	⁵⁵	t	U+2075 U+2075	952	Atsi	phə̆⁵⁵
⁵¹	⁵¹	⁵¹	t	U+2075 U+00b9	627	Atsi	tsui⁵¹
³¹	³¹	³¹	t	U+00b3 U+00b9	2	Atsi	xo³¹
³³	³³	³³	t	U+00b3 U+00b3	1	Atsi	kji̱³³
³⁵	³⁵	³⁵	t	U+00b3 U+2075	1	Atsi	thɔʔ³⁵
aŋ	a ŋ	a ŋ	n c	U+0061 U+0020 U+014b	105	Atsi	thaŋ⁵¹
oʔ	o ʔ	o ʔ	n c	U+006f U+0020 U+0294	94	Atsi	soʔ⁵⁵
uŋ	u ŋ	u ŋ	n c	U+0075 U+0020 U+014b	84	Atsi	muŋ²¹
am	a m	a m	n c	U+0061 U+0020 U+006d	73	Atsi	vam⁵¹
an	a n	a n	n c	U+0061 U+0020 U+006e	66	Atsi	pan²¹
um	u m	u m	n c	U+0075 U+0020 U+006d	60	Atsi	tum²¹
un	u n	u n	n c	U+0075 U+0020 U+006e	56	Atsi	pun²¹
iŋ	i ŋ	i ŋ	n c	U+0069 U+0020 U+014b	50	Atsi	niŋ²¹
at	a t	a t	n c	U+0061 U+0020 U+0074	41	Atsi	tat²¹
uʔ	u ʔ	u ʔ	n c	U+0075 U+0020 U+0294	40	Atsi	nuʔ⁵⁵
ut	u t	u t	n c	U+0075 U+0020 U+0074	36	Atsi	vut²¹
o̱ʔ	o̱ ʔ	o̰ ʔ	n c	U+006f U+0331 U+0020 U+0294	33	Atsi	lo̱ʔ⁵⁵
ik	i k	i k	n c	U+0069 U+0020 U+006b	32	Atsi	sik⁵⁵
ap	a p	a p	n c	U+0061 U+0020 U+0070	32	Atsi	tʃhap⁵⁵
oŋ	o ŋ	o ŋ	n c	U+006f U+0020 U+014b	31	Atsi	toŋ²¹
a̱ŋ	a̱ ŋ	a̰ ŋ	n c	U+0061 U+0331 U+0020 U+014b	25	Atsi	la̱ŋ⁵⁵
aʔ	a ʔ	a ʔ	n c	U+0061 U+0020 U+0294	23	Atsi	vaʔ²¹
u̱m	u̱ m	ṵ m	n c	U+0075 U+0331 U+0020 U+006d	21	Atsi	lu̱m²¹
on	o n	o n	n c	U+006f U+0020 U+006e	21	Atsi	ŋon⁵⁵
a̱p	a̱ p	a̰ p	n c	U+0061 U+0331 U+0020 U+0070	20	Atsi	ta̱p⁵⁵
up	u p	u p	n c	U+0075 U+0020 U+0070	20	Atsi	up⁵⁵
u̱t	u̱ t	ṵ t	n c	U+0075 U+0331 U+0020 U+0074	18	Atsi	ŋu̱t⁵⁵
in	i n	i n	n c	U+0069 U+0020 U+006e	17	Atsi	ʃin²¹
i̱k	i̱ k	ḭ k	n c	U+0069 U+0331 U+0020 U+006b	16	Atsi	ni̱k⁵⁵
u̱ŋ	u̱ ŋ	ṵ ŋ	n c	U+0075 U+0331 U+0020 U+014b	15	Atsi	lu̱ŋ⁵⁵
it	i t	i t	n c	U+0069 U+0020 U+0074	15	Atsi	xit⁵⁵
a̱n	a̱ n	a̰ n	n c	U+0061 U+0331 U+0020 U+006e	13	Atsi	pa̱n⁵⁵
en	e n	e n	n c	U+0065 U+0020 U+006e	13	Atsi	then²¹
eʔ	e ʔ	e ʔ	n c	U+0065 U+0020 U+0294	13	Atsi	tʃeʔ²¹
a̱m	a̱ m	a̰ m	n c	U+0061 U+0331 U+0020 U+006d	12	Atsi	ka̱m⁵⁵
ot	o t	o t	n c	U+006f U+0020 U+0074	11	Atsi	kot²¹
i̱ŋ	i̱ ŋ	ḭ ŋ	n c	U+0069 U+0331 U+0020 U+014b	10	Atsi	tsi̱ŋ²¹
u̱p	u̱ p	ṵ p	n c	U+0075 U+0331 U+0020 U+0070	9	Atsi	tʃu̱p⁵⁵
u̱ʔ	u̱ ʔ	ṵ ʔ	n c	U+0075 U+0331 U+0020 U+0294	9	Atsi	nu̱ʔ⁵⁵
eŋ	e ŋ	e ŋ	n c	U+0065 U+0020 U+014b	8	Atsi	seŋ⁵¹
om	o m	o m	n c	U+006f U+0020 U+006d	7	Atsi	lom⁵¹
op	o p	o p	n c	U+006f U+0020 U+0070	7	Atsi	sop⁵⁵
o̱p	o̱ p	o̰ p	n c	U+006f U+0331 U+0020 U+0070	7	Atsi	ŋo̱p⁵⁵
o̱k	o̱ k	o̰ k	n c	U+006f U+0331 U+0020 U+006b	6	Atsi	tʃo̱k⁵⁵
ep	e p	e p	n c	U+0065 U+0020 U+0070	6	Atsi	tʃep⁵⁵
u̱n	u̱ n	ṵ n	n c	U+0075 U+0331 U+0020 U+006e	6	Atsi	tʃu̱n⁵¹
i̱n	i̱ n	ḭ n	n c	U+0069 U+0331 U+0020 U+006e	6	Atsi	tʃi̱n⁵⁵
ak	a k	a k	n c	U+0061 U+0020 U+006b	5	Atsi	lak²¹
a̱t	a̱ t	a̰ t	n c	U+0061 U+0331 U+0020 U+0074	5	Atsi	pa̱t⁵⁵
a̱k	a̱ k	a̰ k	n c	U+0061 U+0331 U+0020 U+006b	4	Atsi	ta̱k²¹
ŏ̱ʔ	ŏ̱ ʔ	ă̰ ʔ	n c	U+014f U+0331 U+0020 U+0294	4	Atsi	ŋŏ̱ʔ⁵⁵
o̱ŋ	o̱ ŋ	o̰ ŋ	n c	U+006f U+0331 U+0020 U+014b	4	Atsi	to̱ŋ⁵¹
ɔʔ	ɔ ʔ	ɔ ʔ	n c	U+0254 U+0020 U+0294	4	Atsi	lɔʔ²¹
e̱ŋ	e̱ ŋ	ḛ ŋ	n c	U+0065 U+0331 U+0020 U+014b	4	Atsi	le̱ŋ²¹
iʔ	i ʔ	i ʔ	n c	U+0069 U+0020 U+0294	3	Atsi	tiʔ²¹
uk	u k	u k	n c	U+0075 U+0020 U+006b	2	Atsi	puk²¹
