Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
⁵⁵	⁵⁵	⁵⁵	t	U+2075 U+2075	907	Lashi	kji̱⁵⁵
³¹	³¹	³¹	t	U+00b3 U+00b9	622	Lashi	lə̆³¹
³³	³³	³³	t	U+00b3 U+00b3	581	Lashi	puŋ³³
⁵³	⁵³	⁵³	t	U+2075 U+00b3	128	Lashi	sa̱ːi⁵³
³⁵	³⁵	³⁵	t	U+00b3 U+2075	2	Lashi	ʒa³⁵
²¹	²¹	²¹	t	U+00b2 U+00b9	1	Lashi	kjĭ²¹
aŋ	a ŋ	a ŋ	n c	U+0061 U+0020 U+014b	53	Lashi	paŋ⁵⁵
uŋ	u ŋ	u ŋ	n c	U+0075 U+0020 U+014b	44	Lashi	puŋ³³
ɔʔ	ɔ ʔ	ɔ ʔ	n c	U+0254 U+0020 U+0294	44	Lashi	sɔʔ⁵⁵
ɔm	ɔ m	ɔ m	n c	U+0254 U+0020 U+006d	44	Lashi	pɔm³¹
am	a m	a m	n c	U+0061 U+0020 U+006d	41	Lashi	tsham³³
əŋ	ə ŋ	ə ŋ	n c	U+0259 U+0020 U+014b	35	Lashi	thəŋ⁵⁵
an	a n	a n	n c	U+0061 U+0020 U+006e	27	Lashi	pan³¹
ə̱k	ə̱ k	ə̱ k	n c	U+0259 U+0331 U+0020 U+006b	26	Lashi	ə̱k⁵⁵
aːŋ	aː ŋ	aː ŋ	n c	U+0061 U+02d0 U+0020 U+014b	26	Lashi	paːŋ³¹
uːn	uː n	uː n	n c	U+0075 U+02d0 U+0020 U+006e	23	Lashi	puːn³³
uk	u k	u k	n c	U+0075 U+0020 U+006b	22	Lashi	puk⁵⁵
at	a t	a t	n c	U+0061 U+0020 U+0074	22	Lashi	lat³¹
a̱ŋ	a̱ ŋ	a̱ ŋ	n c	U+0061 U+0331 U+0020 U+014b	21	Lashi	la̱ŋ³³
ɔ̱ʔ	ɔ̱ ʔ	ɔ̱ ʔ	n c	U+0254 U+0331 U+0020 U+0294	20	Lashi	ʃɔ̱ʔ⁵⁵
ɔn	ɔ n	ɔ n	n c	U+0254 U+0020 U+006e	18	Lashi	tɔn³³
uːt	uː t	uː t	n c	U+0075 U+02d0 U+0020 U+0074	18	Lashi	suːt⁵⁵
aːt	aː t	aː t	n c	U+0061 U+02d0 U+0020 U+0074	18	Lashi	ŋaːt³¹
uʔ	u ʔ	u ʔ	n c	U+0075 U+0020 U+0294	18	Lashi	vuʔ³¹
əːŋ	əː ŋ	əː ŋ	n c	U+0259 U+02d0 U+0020 U+014b	15	Lashi	tsəːŋ³³
a̱m	a̱ m	a̱ m	n c	U+0061 U+0331 U+0020 U+006d	13	Lashi	na̱m⁵³
ɔːʔ	ɔː ʔ	ɔː ʔ	n c	U+0254 U+02d0 U+0020 U+0294	13	Lashi	nɔːʔ³¹
ə̱ŋ	ə̱ ŋ	ə̱ ŋ	n c	U+0259 U+0331 U+0020 U+014b	13	Lashi	sə̱ŋ⁵⁵
aːn	aː n	aː n	n c	U+0061 U+02d0 U+0020 U+006e	12	Lashi	paːn³¹
a̱n	a̱ n	a̱ n	n c	U+0061 U+0331 U+0020 U+006e	12	Lashi	pa̱n³³
ə̱ːk	ə̱ː k	ə̱ː k	n c	U+0259 U+0331 U+02d0 U+0020 U+006b	11	Lashi	lə̱ːk⁵⁵
a̱ːp	a̱ː p	a̱ː p	n c	U+0061 U+0331 U+02d0 U+0020 U+0070	11	Lashi	ta̱ːp⁵⁵
u̱ːt	u̱ː t	u̱ː t	n c	U+0075 U+0331 U+02d0 U+0020 U+0074	10	Lashi	ŋu̱ːt⁵⁵
aːm	aː m	aː m	n c	U+0061 U+02d0 U+0020 U+006d	10	Lashi	khaːm⁵³
əːk	əː k	əː k	n c	U+0259 U+02d0 U+0020 U+006b	10	Lashi	tshəːk⁵⁵
ap	a p	a p	n c	U+0061 U+0020 U+0070	10	Lashi	tap⁵⁵
ə̱ːŋ	ə̱ː ŋ	ə̱ː ŋ	n c	U+0259 U+0331 U+02d0 U+0020 U+014b	9	Lashi	tsə̱ːŋ⁵⁵
ək	ə k	ə k	n c	U+0259 U+0020 U+006b	9	Lashi	khək⁵⁵
aːp	aː p	aː p	n c	U+0061 U+02d0 U+0020 U+0070	9	Lashi	laːp³¹
ɔt	ɔ t	ɔ t	n c	U+0254 U+0020 U+0074	9	Lashi	tshɔt⁵⁵
ɔp	ɔ p	ɔ p	n c	U+0254 U+0020 U+0070	9	Lashi	thɔp⁵⁵
un	u n	u n	n c	U+0075 U+0020 U+006e	8	Lashi	mun³¹
ɔŋ	ɔ ŋ	ɔ ŋ	n c	U+0254 U+0020 U+014b	8	Lashi	pɔŋ³³
uːm	uː m	uː m	n c	U+0075 U+02d0 U+0020 U+006d	8	Lashi	tsuːm³¹
uːŋ	uː ŋ	uː ŋ	n c	U+0075 U+02d0 U+0020 U+014b	8	Lashi	thuːŋ⁵⁵
u̱ŋ	u̱ ŋ	u̱ ŋ	n c	U+0075 U+0331 U+0020 U+014b	8	Lashi	tu̱ŋ³¹
a̱ːŋ	a̱ː ŋ	a̱ː ŋ	n c	U+0061 U+0331 U+02d0 U+0020 U+014b	8	Lashi	ka̱ːŋ³³
uːk	uː k	uː k	n c	U+0075 U+02d0 U+0020 U+006b	7	Lashi	phuːk⁵⁵
u̱ːn	u̱ː n	u̱ː n	n c	U+0075 U+0331 U+02d0 U+0020 U+006e	7	Lashi	tu̱ːn³³
ɔ̱ːʔ	ɔ̱ː ʔ	ɔ̱ː ʔ	n c	U+0254 U+0331 U+02d0 U+0020 U+0294	7	Lashi	lɔ̱ːʔ⁵⁵
a̱ːt	a̱ː t	a̱ː t	n c	U+0061 U+0331 U+02d0 U+0020 U+0074	7	Lashi	sa̱ːt⁵⁵
uːp	uː p	uː p	n c	U+0075 U+02d0 U+0020 U+0070	6	Lashi	xuːp⁵⁵
ɔːŋ	ɔː ŋ	ɔː ŋ	n c	U+0254 U+02d0 U+0020 U+014b	6	Lashi	tɔːŋ³³
ɛ̱n	ɛ̱ n	ɛ̱ n	n c	U+025b U+0331 U+0020 U+006e	6	Lashi	ʃɛ̱n⁵⁵
iːn	iː n	iː n	n c	U+0069 U+02d0 U+0020 U+006e	6	Lashi	tsiːn³³
