Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
⁵⁵	⁵⁵	⁵⁵	t	U+2075 U+2075	898	Xiandao	ŋɔ⁵⁵
³¹	³¹	³¹	t	U+00b3 U+00b9	839	Xiandao	khaʔ³¹
³⁵	³⁵	³⁵	t	U+00b3 U+2075	301	Xiandao	sɔŋ³⁵
⁵¹	⁵¹	⁵¹	t	U+2075 U+00b9	35	Xiandao	tu⁵¹
⁵³	⁵³	⁵³	t	U+2075 U+00b3	3	Xiandao	pum⁵³
ɔʔ	ɔ ʔ	ɔ ʔ	n c	U+0254 U+0020 U+0294	89	Xiandao	sɔʔ⁵⁵
aŋ	a ŋ	a ŋ	n c	U+0061 U+0020 U+014b	75	Xiandao	chaŋ³¹
ɔŋ	ɔ ŋ	ɔ ŋ	n c	U+0254 U+0020 U+014b	57	Xiandao	phɔŋ³¹
oŋ	o ŋ	o ŋ	n c	U+006f U+0020 U+014b	56	Xiandao	n̥oŋ⁵⁵
am	a m	a m	n c	U+0061 U+0020 U+006d	49	Xiandao	tʂham³¹
an	a n	a n	n c	U+0061 U+0020 U+006e	47	Xiandao	an³⁵
oʔ	o ʔ	o ʔ	n c	U+006f U+0020 U+0294	47	Xiandao	khʐoʔ⁵⁵
um	u m	u m	n c	U+0075 U+0020 U+006d	45	Xiandao	ʐum³¹
ɯŋ	ɯ ŋ	ɯ ŋ	n c	U+026f U+0020 U+014b	43	Xiandao	tʂɯŋ⁵⁵
ap	a p	a p	n c	U+0061 U+0020 U+0070	41	Xiandao	kʐap⁵⁵
uʔ	u ʔ	u ʔ	n c	U+0075 U+0020 U+0294	41	Xiandao	pʐuʔ⁵⁵
ut	u t	u t	n c	U+0075 U+0020 U+0074	35	Xiandao	n̥ut⁵⁵
uŋ	u ŋ	u ŋ	n c	U+0075 U+0020 U+014b	34	Xiandao	tuŋ³¹
un	u n	u n	n c	U+0075 U+0020 U+006e	30	Xiandao	tun³¹
in	i n	i n	n c	U+0069 U+0020 U+006e	28	Xiandao	lin³⁵
ɤk	ɤ k	ɤ k	n c	U+0264 U+0020 U+006b	28	Xiandao	n̥ɤk⁵⁵
at	a t	a t	n c	U+0061 U+0020 U+0074	26	Xiandao	lat³⁵
ɛn	ɛ n	ɛ n	n c	U+025b U+0020 U+006e	25	Xiandao	pɛn³¹
aʔ	a ʔ	a ʔ	n c	U+0061 U+0020 U+0294	22	Xiandao	khaʔ³¹
ak	a k	a k	n c	U+0061 U+0020 U+006b	19	Xiandao	sak⁵⁵
ɛt	ɛ t	ɛ t	n c	U+025b U+0020 U+0074	17	Xiandao	tsɛt⁵⁵
ɯk	ɯ k	ɯ k	n c	U+026f U+0020 U+006b	16	Xiandao	ʂɯk⁵⁵
ɔk	ɔ k	ɔ k	n c	U+0254 U+0020 U+006b	15	Xiandao	kɔk³⁵
om	o m	o m	n c	U+006f U+0020 U+006d	15	Xiandao	om⁵⁵
ɤŋ	ɤ ŋ	ɤ ŋ	n c	U+0264 U+0020 U+014b	15	Xiandao	tɤŋ⁵⁵
ɔt	ɔ t	ɔ t	n c	U+0254 U+0020 U+0074	15	Xiandao	n̥ɔt⁵⁵
iŋ	i ŋ	i ŋ	n c	U+0069 U+0020 U+014b	14	Xiandao	liŋ³⁵
ɛŋ	ɛ ŋ	ɛ ŋ	n c	U+025b U+0020 U+014b	14	Xiandao	lɛŋ³⁵
ip	i p	i p	n c	U+0069 U+0020 U+0070	13	Xiandao	sip⁵⁵
ot	o t	o t	n c	U+006f U+0020 U+0074	11	Xiandao	chot⁵⁵
it	i t	i t	n c	U+0069 U+0020 U+0074	11	Xiandao	tsit⁵⁵
ɔn	ɔ n	ɔ n	n c	U+0254 U+0020 U+006e	11	Xiandao	ɲɔn³⁵
op	o p	o p	n c	U+006f U+0020 U+0070	9	Xiandao	khʐop⁵⁵
up	u p	u p	n c	U+0075 U+0020 U+0070	9	Xiandao	tʂhup⁵⁵
iʔ	i ʔ	i ʔ	n c	U+0069 U+0020 U+0294	8	Xiandao	tsiʔ⁵⁵
on	o n	o n	n c	U+006f U+0020 U+006e	8	Xiandao	xon³¹
ɤn	ɤ n	ɤ n	n c	U+0264 U+0020 U+006e	7	Xiandao	lɤn³¹
ɛʔ	ɛ ʔ	ɛ ʔ	n c	U+025b U+0020 U+0294	6	Xiandao	ɲ̊ɛʔ⁵⁵
ɯm	ɯ m	ɯ m	n c	U+026f U+0020 U+006d	6	Xiandao	khɯm⁵⁵
ɛk	ɛ k	ɛ k	n c	U+025b U+0020 U+006b	6	Xiandao	tɛk⁵⁵
ɛm	ɛ m	ɛ m	n c	U+025b U+0020 U+006d	5	Xiandao	tɛm³¹
ɔp	ɔ p	ɔ p	n c	U+0254 U+0020 U+0070	4	Xiandao	m̥ʐɔp⁵⁵
ɤt	ɤ t	ɤ t	n c	U+0264 U+0020 U+0074	4	Xiandao	kɤt³⁵
ɯt	ɯ t	ɯ t	n c	U+026f U+0020 U+0074	4	Xiandao	ʐɯt⁵⁵
im	i m	i m	n c	U+0069 U+0020 U+006d	2	Xiandao	ɲ̊im⁵¹
uk	u k	u k	n c	U+0075 U+0020 U+006b	1	Xiandao	kuk⁵⁵
iaahŋ	ia ahŋ	ia ahŋ	n c	U+0069 U+0061 U+0020 U+0061 U+0068 U+014b	1	Xiandao	tahiaŋ³¹
ɯn	ɯ n	ɯ n	n c	U+026f U+0020 U+006e	1	Xiandao	kɯn⁵⁵
ɛʈ	ɛ ʈ	ɛ ʈ	n c	U+025b U+0020 U+0288	1	Xiandao	çɛʈ⁵⁵
ɤm	ɤ m	ɤ m	n c	U+0264 U+0020 U+006d	1	Xiandao	tɤm⁵⁵
ok	o k	o k	n c	U+006f U+0020 U+006b	1	Xiandao	tok³⁵
ɑʔ	ɑ ʔ	ɑ ʔ	n c	U+0251 U+0020 U+0294	1	Xiandao	ŋʐɑʔ⁵⁵
ɛp	ɛ p	ɛ p	n c	U+025b U+0020 U+0070	1	Xiandao	l̥ɛp⁵⁵
ik	i k	i k	n c	U+0069 U+0020 U+006b	1	Xiandao	phik⁵⁵
ăŋ	ă ŋ	ă ŋ	n c	U+0103 U+0020 U+014b	1	Xiandao	ʂăŋ³¹
ɤp	ɤ p	ɤ p	n c	U+0264 U+0020 U+0070	1	Xiandao	kɤp³⁵
oʈ	o ʈ	o ʈ	n c	U+006f U+0020 U+0288	1	Xiandao	choʈ⁵⁵
ɔ	ɔ	ɔ	n	U+0254	163	Xiandao	ŋɔ⁵⁵
a	a	a	n	U+0061	156	Xiandao	ta³¹
i	i	i	n	U+0069	97	Xiandao	chi⁵⁵
u	u	u	n	U+0075	92	Xiandao	tʂu⁵⁵
au	au	au	n	U+0061 U+0075	87	Xiandao	xau³¹
ɛ	ɛ	ɛ	n	U+025b	69	Xiandao	cɛ⁵⁵
ai	ai	ai	n	U+0061 U+0069	50	Xiandao	tsai⁵⁵
o	o	o	n	U+006f	42	Xiandao	o³¹
ɤ	ɤ	ɤ	n	U+0264	33	Xiandao	khɤ³¹
ɯ	ɯ	ɯ	n	U+026f	19	Xiandao	kɯ³¹
ɿ	ɿ	ɿ	n	U+027f	19	Xiandao	ʂɿ³¹
oi	oi	oi	n	U+006f U+0069	10	Xiandao	moi³¹
ɔi	ɔi	ɔi	n	U+0254 U+0069	8	Xiandao	tsɔi⁵⁵
ɔ̆	ɔ̆	ɔ̆	n	U+0254 U+0306	5	Xiandao	kɔ̆³⁵
ă	ă	ă	n	U+0103	5	Xiandao	phă⁵⁵
ui	ui	ui	n	U+0075 U+0069	2	Xiandao	ui⁵⁵
ɯ̆	ɯ̆	ɯ̆	n	U+026f U+0306	1	Xiandao	khɯ̆³¹
ŏ	ŏ	ŏ	n	U+014f	1	Xiandao	nŏ³¹
ə̆	ə̆	ə̆	n	U+0259 U+0306	1	Xiandao	phə̆³¹
a̱	a̱	a̱	n	U+0061 U+0331	1	Xiandao	pa̱³¹
ɤu	ɤu	ɤu	n	U+0264 U+0075	1	Xiandao	khɤu³⁵
ɑ̆	ɑ̆	ɑ̆	n	U+0251 U+0306	1	Xiandao	phɑ̆³¹
