# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
#
140	Rangoon	Adam's apple	140	ɑ²²si⁵³	/ʔ ɑ ²² + s i ⁵³	i n t + i n t	/ʔ ɑ ²² + s i ⁵³	5 6
5074	Atsi	Adam's apple	140	khjuŋ²¹tsui⁵¹	kʰ j u ŋ ²¹ + ts u i ⁵¹	i m n c t + i m n t	kʰ j u ŋ ²¹ + ts u i ⁵¹	1 2
6848	Maru	Adam's apple	140	laŋ²¹pau⁵⁵	l a ŋ ²¹ + p au ⁵⁵	i n c t + i n t	l a ŋ ²¹ + p au ⁵⁵	3 4
#
631	Rangoon	Buddha	629	bu⁵³jɑ⁵⁵	b u ⁵³ + /ʔ j ɑ ⁵⁵	i n t + i m n t	b u ⁵³ + /ʔ j ɑ ⁵⁵	8 12
2410	Achang_Longchuan	Buddha	629	phă⁵⁵ʐa⁵⁵	pʰ ă ⁵⁵ + ʐ a ⁵⁵	i n t + i n t	pʰ ă ⁵⁵ + ʐ a ⁵⁵	8 9
5559	Atsi	Buddha	629	phə̆⁵⁵ʒa⁵¹	pʰ ə̆ ⁵⁵ + ʒ a ⁵¹	i n t + i n t	pʰ ə̆ ⁵⁵ + ʒ a ⁵¹	8 9
8945	Bola	Buddha	629	phə̆⁵⁵ʒa⁵⁵	ph ə̆ ⁵⁵ + ʒ a ⁵⁵	i n t + i n t	ph ə̆ ⁵⁵ + ʒ a ⁵⁵	8 9
10617	Lashi	Buddha	629	puŋ³³kji̱⁵⁵	/ʔ p u ŋ ³³ + ˀk j i ⁵⁵	i m n i t + i m n t	/ʔ p u + ˀk j i ⁵⁵	10 11
#
163	Rangoon	Chinese (Han)	163	tɑ⁵³joʔ⁴lu²²mjo⁵⁵	t ɑ ⁵³ + /ʔ j o ʔ ⁴ + l u ²² + m j o ⁵⁵	i n t + i m n c t + i n t + i m n t	t ɑ ⁵³ + /ʔ j o ʔ ⁴ + l u ²² + m j o ⁵⁵	26 27 2402 14211
1983	Achang_Longchuan	Chinese (Han)	163	kă³¹phuaŋ³¹	k ă ³¹ + pʰ ua ŋ ³¹	i n t + i n c t	k ă - ³¹ + pʰ ua ŋ ³¹	19 3164
3636	Xiandao	Chinese (Han)	163	khaʔ³¹phɔŋ³¹	kh a ʔ ³¹ + ph ɔ ŋ ³¹	i n c t + i n c t	kh a ʔ ³¹ + ph ɔ ŋ ³¹	19 3164
5097	Atsi	Chinese (Han)	163	mji²¹va²¹	m j i ²¹ + v a ²¹	i m n t + i n t	m j i ²¹ + v a ²¹	14211 22
6869	Maru	Chinese (Han)	163	xa³¹vɔ³¹	x a ³¹ + v ɔ ³¹	i n t + i n t	x a ³¹ + v ɔ ³¹	22 25
8503	Bola	Chinese (Han)	163	xɛ⁵⁵va³¹	x ɛ ⁵⁵ + v a ³¹	i n t + i n t	x ɛ ⁵⁵ + v a ³¹	23 22
10227	Lashi	Chinese (Han)	163	lə̆³¹xe̱i³³	l ə̆ ³¹ + ˀx ei ³³	i n t + i n t	l ə̆ ³¹ + ˀx ei ³³	2402 22
#
728	Rangoon	February	725	kɑ̃²²shõ²²	k ɑ̃ ∼ ²² + sʰ õ ∼ ²²	i n c t + i n c t	k ɑ̃ ∼ ²² + sʰ õ ∼ ²²	42 43
2491	Achang_Longchuan	February	725	sək⁵⁵pau⁵¹l̥ɔ³⁵	s ə k ⁵⁵ + p au ⁵¹ + l̥ ɔ ³⁵	i n c t + i n t + i n t	s ə k ⁵⁵ + p au ⁵¹ + l̥ ɔ - ³⁵	36 37 10508
4062	Xiandao	February	725	lɤn³¹sɔŋ³⁵	l ɤ n ³¹ + s ɔ ŋ ³⁵	i n c t + i n c t	l ɤ n ³¹ + s ɔ ŋ ³⁵	10508 43
5657	Atsi	February	725	lŏ̱⁵⁵mo⁵⁵i⁵⁵khjap⁵⁵	ˀl ŏ ⁵⁵ + m o ⁵⁵ + /ʔ i ⁵⁵ + kʰ j a p ⁵⁵	i n t + i n t + i n t + i m n c t	ˀl ŏ - ⁵⁵ + m o ⁵⁵ + /ʔ i - ⁵⁵ + kʰ j a p ⁵⁵	10508 4195 36 11585
7366	Maru	February	725	lɔ̱⁵⁵ʃi̱k⁵⁵khjɛʔ⁵⁵	ˀl ɔ ⁵⁵ + ˀʃ i k ⁵⁵ + kh j ɛ ʔ ⁵⁵	i n t + i n c t + i m n c t	ˀl ɔ - ⁵⁵ + ˀʃ i k ⁵⁵ + kh j ɛ ʔ ⁵⁵	10508 36 11585
9038	Bola	February	725	ə³⁵jɛ³¹	/ʔ ə ³⁵ + /ʔ j ɛ ³¹	i n t + i m n t	/ʔ ə - ³⁵ + /ʔ j ɛ ³¹	36 41
10693	Lashi	February	725	lə̆⁵⁵mo⁵⁵ə̱k⁵⁵khjap⁵⁵	l ə̆ ⁵⁵ + m o ⁵⁵ + ˀ/ʔ ə k ⁵⁵ + kh j a p ⁵⁵	i n t + i n t + i n c t + i m n c t	l ə̆ - ⁵⁵ + m o ⁵⁵ + ˀ/ʔ ə k ⁵⁵ + kh j a p ⁵⁵	10508 4195 36 11585
#
846	Rangoon	I	843	ŋɑ²²	ŋ ɑ ²²	i n t	ŋ ɑ ²²	57
2602	Achang_Longchuan	I	843	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t	ŋ ɔ ⁵⁵	57
4167	Xiandao	I	843	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t	ŋ ɔ ⁵⁵	57
5776	Atsi	I	843	ŋo⁵¹	ŋ o ⁵¹	i n t	ŋ o ⁵¹	57
