# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	CROSSIDS	TMP_STRUCTURE	TMP_TOKENS
#
6848	Maru	Adam's apple	140	laŋ²¹pau⁵⁵	3 4	i r t + i r t	l aŋ ²¹ + p au ⁵⁵
#
2410	Achang_Longchuan	Buddha	629	phă⁵⁵ʐa⁵⁵	8 9	i r t + i r t	pʰ ă ⁵⁵ + ʐ a ⁵⁵
8945	Bola	Buddha	629	phə̆⁵⁵ʒa⁵⁵	8 9	i r t + i r t	ph ə̆ ⁵⁵ + ʒ a ⁵⁵
#
1983	Achang_Longchuan	Chinese (Han)	163	kă³¹phuaŋ³¹	19 3164	i r t + i r t	k ă ³¹ + pʰ uaŋ ³¹
6869	Maru	Chinese (Han)	163	xa³¹vɔ³¹	22 25	i r t + i r t	x a ³¹ + v ɔ ³¹
8503	Bola	Chinese (Han)	163	xɛ⁵⁵va³¹	23 22	i r t + i r t	x ɛ ⁵⁵ + v a ³¹
#
2491	Achang_Longchuan	February	725	sək⁵⁵pau⁵¹l̥ɔ³⁵	36 37 10508	i r t + i r t + i r t	s ək ⁵⁵ + p au ⁵¹ + l̥ ɔ ³⁵
7366	Maru	February	725	lɔ̱⁵⁵ʃi̱k⁵⁵khjɛʔ⁵⁵	10508 36 11585	i r t + i r t + i m r t	ˀl ɔ ⁵⁵ + ˀʃ ik ⁵⁵ + khj j jɛʔ ⁵⁵
9038	Bola	February	725	ə³⁵jɛ³¹	36 41	i r t + i m r t	ʔ ə ³⁵ + ʔj j jɛ ³¹
#
2602	Achang_Longchuan	I	843	ŋɔ⁵⁵	57	i r t	ŋ ɔ ⁵⁵
7478	Maru	I	843	ŋɔ³¹	57	i r t	ŋ ɔ ³¹
9159	Bola	I	843	ŋa⁵⁵	57	i r t	ŋ a ⁵⁵
11817	Old_Burmese	I	843	ṅa	57	i r t	ŋ a ²²
#
2490	Achang_Longchuan	January	724	tă³¹pau⁵¹l̥ɔ³⁵	11284 67 68	i r t + i r t + i r t	t ă ³¹ + p au ⁵¹ + l̥ ɔ ³⁵
7365	Maru	January	724	lɔ̱⁵⁵tă³¹khjɛʔ⁵⁵	68 11284 11585	i r t + i r t + i m r t	ˀl ɔ ⁵⁵ + t ă ³¹ + khj j jɛʔ ⁵⁵
9037	Bola	January	724	tʃin³⁵jɛ³¹	72 73	i r t + i m r t	tʃ in ³⁵ + ʔj j jɛ ³¹
#
9053	Bola	Monday	740	lə̆³¹pan⁵¹ta³¹	68 89 92	i r t + i r t + i r t	l ə̆ ³¹ + p an ⁵¹ + t a ³¹
#
7380	Maru	New Year's Day	746	tsəŋ³¹sa̱k⁵⁵	103 17711	i r t + i r t	ts əŋ ³¹ + ˀs ak ⁵⁵
9059	Bola	New Year's Day	746	tɛ̃⁵⁵sak⁵⁵	103 17711	i r t + i r t	t ɛ̃∼ ⁵⁵ + s ak ⁵⁵
#
6870	Maru	Tibetan	164	tsaŋ³⁵tshuʔ ³¹	117 121	i r t + i r t	ts aŋ ³⁵ + tsh uʔ ³¹
8504	Bola	Tibetan	164	tsaŋ ³⁵	117	i r t	ts aŋ ³⁵
#
9054	Bola	Tuesday	741	lə̆³¹pan⁵¹i̱³⁵	134 130 129	i r t + i r t + i r t	l ə̆ ³¹ + p an ⁵¹ + ʔ i ³⁵
#
7706	Maru	accomplish / succeed	1094	pəŋ³¹	140	i r t	p əŋ ³¹
9408	Bola	accomplish / succeed	1094	pɛ̃⁵⁵	140	i r t	p ɛ̃∼ ⁵⁵
#
3029	Achang_Longchuan	accumulate	1295	xʐɔm³⁵	146	i m r t	xʐ ʐ ʐɔm ³⁵
#
3317	Achang_Longchuan	accustomed to, be / habit of, haveve	1593	ȵ̥am³¹	151	i r t	ȵ̥ am ³¹
8177	Maru	accustomed to, be / habit of, haveve	1593	məŋ⁵⁵	152	i r t	m əŋ ⁵⁵
9904	Bola	accustomed to, be / habit of, haveve	1593	mɛ̃³⁵	152	i r t	m ɛ̃∼ ³⁵
#
3274	Achang_Longchuan	ache (head)	1549	xə³¹	159	i r t	x ə ³¹
8133	Maru	ache (head)	1549	nɔ³¹	8607	i r t	n ɔ ³¹
9859	Bola	ache (head)	1549	na⁵⁵	8607	i r t	n a ⁵⁵
#
9916	Bola	admire and envy	1605	sə̆³¹kɔ̱t⁵⁵nau⁵⁵	168 169 170	i r t + i r t + i r t	s ə̆ ³¹ + ˀk ɔt ⁵⁵ + n au ⁵⁵
#
7709	Maru	admit	1097	mə̆³¹xa³¹	177 178	i r t + i r t	m ə̆ ³¹ + x a ³¹
9411	Bola	admit	1097	ŋɔt⁵⁵	176	i r t	ŋ ɔt ⁵⁵
#
1985	Achang_Longchuan	adult	166	tʂo⁵⁵kʐə³¹	9222 183	i r t + i m r t	tʂ o ⁵⁵ + kʐ ʐ ʐə ³¹
6872	Maru	adult	166	ɣə³⁵mɔʔ⁵⁵	186 185	i r t + i r t	ɣ ə ³⁵ + m ɔʔ ⁵⁵
8506	Bola	adult	166	kɔ̱⁵⁵maʔ⁵⁵	183 185	i r t + i r t	ˀk ɔ ⁵⁵ + m aʔ ⁵⁵
#
2429	Achang_Longchuan	advantage / benefit	655	tɕi⁵⁵ʐua⁵⁵	197 198	i r t + i r t	tɕ i ⁵⁵ + ʐ ua ⁵⁵
