Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
³¹	³¹	³¹	t	U+00b3 U+00b9	981	Achang (Longchuan)	mau³¹, ni³¹, mɔ³¹, phă³¹, lɔʔ³¹
⁵⁵	⁵⁵	⁵⁵	t	U+2075 U+2075	964	Achang (Longchuan)	khʐə⁵⁵, l̥i⁵⁵, ʐo⁵⁵, ʑai⁵⁵, ʐo⁵⁵
³⁵	³⁵	³⁵	t	U+00b3 U+2075	348	Achang (Longchuan)	kət³⁵, n̥ɔŋ³⁵, n̥ɔŋ³⁵, mɔ³⁵, tɔŋ³⁵
⁵¹	⁵¹	⁵¹	t	U+2075 U+00b9	73	Achang (Longchuan)	xɔŋ⁵¹, phu⁵¹, phe⁵¹, tsuŋ⁵¹, tʂham⁵¹
⁵³	⁵¹	⁵¹	t	U+2075 U+00b9	73	Achang (Longchuan)	xɔŋ⁵¹, phu⁵¹, phe⁵¹, tsuŋ⁵¹, tʂham⁵¹
aŋ	a ŋ	a ŋ	n c	U+0061 U+0020 U+014b	98	Achang (Longchuan)	pʐaŋ⁵⁵, laŋ³¹, laŋ³¹, laŋ³¹, taŋ³¹
am	a m	a m	n c	U+0061 U+0020 U+006d	70	Achang (Longchuan)	nam³¹, nam³¹, ʂam⁵⁵, tɕam⁵⁵, tam³¹
ɔʔ	ɔ ʔ	ɔ ʔ	n c	U+0254 U+0020 U+0294	70	Achang (Longchuan)	lɔʔ³¹, sɔʔ⁵⁵, kɔʔ⁵⁵, sɔʔ⁵⁵, ȵɔʔ⁵⁵
an	a n	a n	n c	U+0061 U+0020 U+006e	60	Achang (Longchuan)	xan³¹, xan³¹, ŋ̊an⁵⁵, tan³¹, tan³⁵
əŋ	ə ŋ	ə ŋ	n c	U+0259 U+0020 U+014b	59	Achang (Longchuan)	ʐəŋ³¹, ʐəŋ³¹, kəŋ³⁵, tsəŋ³¹, ʂəŋ³¹
ɔŋ	ɔ ŋ	ɔ ŋ	n c	U+0254 U+0020 U+014b	54	Achang (Longchuan)	xɔŋ⁵¹, tɔŋ³¹, tɔŋ³¹, n̥ɔŋ³⁵, n̥ɔŋ³⁵
ək	ə k	ə k	n c	U+0259 U+0020 U+006b	51	Achang (Longchuan)	kək⁵⁵, ʂək⁵⁵, ʂək⁵⁵, ʂək⁵⁵, ʂək⁵⁵
en	e n	e n	n c	U+0065 U+0020 U+006e	45	Achang (Longchuan)	pen³¹, tshen³¹, len⁵¹, sen³¹, sen³¹
uŋ	u ŋ	u ŋ	n c	U+0075 U+0020 U+014b	43	Achang (Longchuan)	tuŋ⁵⁵, tuŋ⁵⁵, xuŋ³¹, luŋ³⁵, tuŋ³¹
ap	a p	a p	n c	U+0061 U+0020 U+0070	38	Achang (Longchuan)	ʐap³⁵, kap³⁵, n̥ap⁵⁵, tɕap⁵⁵, kap³¹
oʔ	o ʔ	o ʔ	n c	U+006f U+0020 U+0294	36	Achang (Longchuan)	loʔ⁵⁵, oʔ⁵⁵, oʔ⁵⁵, oʔ⁵⁵, oʔ⁵⁵
aʔ	a ʔ	a ʔ	n c	U+0061 U+0020 U+0294	36	Achang (Longchuan)	saʔ³¹, phaʔ⁵⁵, paʔ³¹, xaʔ⁵⁵, phaʔ⁵⁵
uʔ	u ʔ	u ʔ	n c	U+0075 U+0020 U+0294	33	Achang (Longchuan)	tɕuʔ³¹, nuʔ³¹, puʔ⁵⁵, l̥uʔ³⁵, ȵuʔ⁵⁵
um	u m	u m	n c	U+0075 U+0020 U+006d	32	Achang (Longchuan)	tum⁵⁵, pum⁵⁵, pum⁵⁵, pum⁵⁵, pum⁵⁵
un	u n	u n	n c	U+0075 U+0020 U+006e	31	Achang (Longchuan)	xun⁵⁵, tun⁵⁵, sun³⁵, kun⁵¹, mun³⁵
in	i n	i n	n c	U+0069 U+0020 U+006e	31	Achang (Longchuan)	tɕin³¹, ȵin³¹, in⁵⁵, tshin⁵⁵, sin³⁵
ən	ə n	ə n	n c	U+0259 U+0020 U+006e	25	Achang (Longchuan)	khən³¹, vən⁵⁵, thən³⁵, thən³⁵, phən³⁵
