Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
⁵⁵	⁵⁵	⁵⁵	t	U+2075 U+2075	1106	Bola	phə̆⁵⁵
³¹	³¹	³¹	t	U+00b3 U+00b9	959	Bola	va³¹
³⁵	³⁵	³⁵	t	U+00b3 U+2075	633	Bola	ə³⁵
⁵¹	⁵¹	⁵¹	t	U+2075 U+00b9	24	Bola	pan⁵¹
⁵³	⁵³	⁵³	t	U+2075 U+00b3	3	Bola	ŋa⁵³
³¹ˉ⁵¹	³¹ˉ⁵¹	³¹ˉ⁵¹	t	U+00b3 U+00b9 U+02c9 U+2075 U+00b9	1	Bola	pai³¹ˉ⁵¹
⁵	⁵	⁵	t	U+2075	1	Bola	khja⁵
²¹	²¹	²¹	t	U+00b2 U+00b9	1	Bola	kjɛ̱t²¹
³¹p⁵⁵	³¹p⁵⁵	³¹p⁵⁵	t	U+00b3 U+00b9 U+0070 U+2075 U+2075	1	Bola	³¹pi⁵⁵
³¹_ˍ	³¹_ˍ	³¹_ˍ	t	U+00b3 U+00b9 U+005f U+02cd	1	Bola	tʃauŋ³¹_ˍ
aʔ	a ʔ	a ʔ	n c	U+0061 U+0020 U+0294	104	Bola	maʔ⁵⁵
ɔ̃	ɔ̃ ∼	ɔ̃ ∼	n c	U+0254 U+0303 U+0020 U+223c	104	Bola	ɣɔ̃∼³¹
ɛ̃	ɛ̃ ∼	ɛ̃ ∼	n c	U+025b U+0303 U+0020 U+223c	98	Bola	tɛ̃∼⁵⁵
ɛʔ	ɛ ʔ	ɛ ʔ	n c	U+025b U+0020 U+0294	76	Bola	vɛʔ⁵⁵
auŋ	au ŋ	au ŋ	n c	U+0061 U+0075 U+0020 U+014b	74	Bola	tsauŋ³¹
aŋ	a ŋ	a ŋ	n c	U+0061 U+0020 U+014b	70	Bola	taŋ³¹
am	a m	a m	n c	U+0061 U+0020 U+006d	69	Bola	tʃam³¹
ɔn	ɔ n	ɔ n	n c	U+0254 U+0020 U+006e	62	Bola	tɔn³¹
ak	a k	a k	n c	U+0061 U+0020 U+006b	47	Bola	sak⁵⁵
uŋ	u ŋ	u ŋ	n c	U+0075 U+0020 U+014b	44	Bola	muŋ³¹
ɔt	ɔ t	ɔ t	n c	U+0254 U+0020 U+0074	35	Bola	ŋɔt⁵⁵
auʔ	au ʔ	au ʔ	n c	U+0061 U+0075 U+0020 U+0294	33	Bola	tʃhauʔ⁵⁵
