Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
³¹	³¹	³¹	t	U+00b3 U+00b9	1105	Maru	xa³¹
⁵⁵	⁵⁵	⁵⁵	t	U+2075 U+2075	705	Maru	pau⁵⁵
³⁵	³⁵	³⁵	t	U+00b3 U+2075	505	Maru	tsaŋ³⁵
²¹	²¹	²¹	t	U+00b2 U+00b9	12	Maru	laŋ²¹
⁵¹	⁵¹	⁵¹	t	U+2075 U+00b9	7	Maru	xɔ⁵¹
³	³	³	t	U+00b3	1	Maru	jɛ̃∼³
ɔʔ	ɔ ʔ	ɔ ʔ	n c	U+0254 U+0020 U+0294	95	Maru	mɔʔ⁵⁵
uk	u k	u k	n c	U+0075 U+0020 U+006b	79	Maru	nuk³¹
ɔ̃	ɔ̃ ∼	ɔ̃ ∼	n c	U+0254 U+0303 U+0020 U+223c	76	Maru	tɔ̃∼⁵⁵
ɛʔ	ɛ ʔ	ɛ ʔ	n c	U+025b U+0020 U+0294	69	Maru	vɛʔ⁵⁵
aŋ	a ŋ	a ŋ	n c	U+0061 U+0020 U+014b	65	Maru	laŋ²¹
auŋ	au ŋ	au ŋ	n c	U+0061 U+0075 U+0020 U+014b	59	Maru	tsauŋ³¹
ɛ̃	ɛ̃ ∼	ɛ̃ ∼	n c	U+025b U+0303 U+0020 U+223c	42	Maru	tshɛ̃∼³¹
am	a m	a m	n c	U+0061 U+0020 U+006d	42	Maru	tam³⁵
əŋ	ə ŋ	ə ŋ	n c	U+0259 U+0020 U+014b	34	Maru	tsəŋ³¹
um	u m	u m	n c	U+0075 U+0020 U+006d	34	Maru	tum³⁵
ɛ̱ʔ	ɛ̱ ʔ	ɛ̱ ʔ	n c	U+025b U+0331 U+0020 U+0294	34	Maru	pɛ̱ʔ⁵⁵
uŋ	u ŋ	u ŋ	n c	U+0075 U+0020 U+014b	31	Maru	puŋ⁵⁵
auk	au k	au k	n c	U+0061 U+0075 U+0020 U+006b	29	Maru	tʃhauk⁵⁵
a̱k	a̱ k	a̱ k	n c	U+0061 U+0331 U+0020 U+006b	26	Maru	sa̱k⁵⁵
an	a n	a n	n c	U+0061 U+0020 U+006e	25	Maru	tʃan³⁵
a̱t	a̱ t	a̱ t	n c	U+0061 U+0331 U+0020 U+0074	23	Maru	na̱t⁵⁵
ak	a k	a k	n c	U+0061 U+0020 U+006b	23	Maru	fak⁵⁵
a̱ŋ	a̱ ŋ	a̱ ŋ	n c	U+0061 U+0331 U+0020 U+014b	22	Maru	ta̱ŋ³⁵
at	a t	a t	n c	U+0061 U+0020 U+0074	21	Maru	tsat³¹
ik	i k	i k	n c	U+0069 U+0020 U+006b	20	Maru	tʃik³¹
ap	a p	a p	n c	U+0061 U+0020 U+0070	19	Maru	xap⁵⁵
ɔ̱ʔ	ɔ̱ ʔ	ɔ̱ ʔ	n c	U+0254 U+0331 U+0020 U+0294	19	Maru	lɔ̱ʔ⁵⁵
a̱uŋ	a̱u ŋ	a̱u ŋ	n c	U+0061 U+0331 U+0075 U+0020 U+014b	18	Maru	la̱uŋ³¹
