Grapheme	Huang1992	Orthography	CLPA	Structure	TYPE	LANGUAGES	NOTE
¹	¹	¹	¹	t		Written_Burmese
_	_	_	_	+		Written_Burmese
³	³	³	³	t		Written_Burmese
²	²	²	²	t		Written_Burmese
⁴	⁴	⁴	⁴	t		Written_Burmese
⁵⁵	⁵⁵	⁵⁵	⁵⁵	t		Written_Burmese	
mj	m j	m y	m j	i m	i	Written_Burmese
phj	ph j	ph y	pʰ j	i m	i	Written_Burmese
e	e	e	e	n	f	Written_Burmese
ɑ	ɑ	a	ɑ	n	f	Written_Burmese
w	w	w	w	i	i	Written_Burmese
kj	k j	k y	k j	i m	i	Written_Burmese
khj	kh j	kh y	kʰ j	i m	i	Written_Burmese
ɑi	ɑ i	a i	ɑ i	n c	f	Written_Burmese
ɑp	ɑ p	a p	ɑ p	n c	f	Written_Burmese
ɑs	ɑ s	a c	ɑ tɕ	n c	f	Written_Burmese
ɑj	ɑ j	a y	ɑ j	n c	f	Written_Burmese
ɑk	ɑ k	a k	ɑ k	n c	f	Written_Burmese
ɑm	ɑ m	a m	ɑ m	n c	f	Written_Burmese
ɑṁ	ɑ ṁ	a ṁ	ɑ ṁ/m	n c	f	Written_Burmese
uṁ	uṁ	uṁ	u ṁ/m	n c	f	Written_Burmese
ɑm̩	ɑ m̩		ɑ m̩/m	n c	f	Written_Burmese
ɑn̩	ɑ n̩		ɑ n̩/m	n c	f	Written_Burmese
ɑȵ	ɑ ȵ	a ñ	ɑ ȵ	n c	f	Written_Burmese
ɑȵ̂	ɑ ȵ̂	a ññ	ɑ ȵː	n c	f	Written_Burmese
ɑŋ	ɑ ŋ		ɑ ŋ	n c	f	Written_Burmese
ɑp̩	ɑ p̩		ɑ p̩	n c	f	Written_Burmese
ɑt	ɑ t	a t	ɑ t	n c	f	Written_Burmese
ɑɑj	ɑɑ j	ā y	ɑː j	n c	f	Written_Burmese
ɑɑn	ɑɑ n	ā n	ɑː n	n c	f	Written_Burmese
is	i s	i c	i tɕ	n c	f	Written_Burmese
oj	o j	o y	o j	n c	f	Written_Burmese
ud	u d	u t	u t	n c	f	Written_Burmese
utʔ	u t ʔ	u t ʔ	u tʔ	n c	f	Written_Burmese
ɑɑ	ɑɑ	ā	ɑː	n	f	Written_Burmese
uu	uu	ū	uː	n	f	Written_Burmese
ɒ	ɒ	a	ɒ	n	f	Written_Burmese
ê	ê		ê/e	n	f	Written_Burmese
î	î	ī	î/i	n	f	Written_Burmese
ii	ii	ī	iː	n	f	Written_Burmese
hnw	hn w	nh	n̥ w	i m	i	Written_Burmese
bhj	bh j	bh y	pʰ j	i m	i	Written_Burmese
bhw	bh w	bh w	pʰ w	i m	i	Written_Burmese
gj	g j	g y	k j	i m	i	Written_Burmese
hrw	h rw	rh w	r̥ w	i m	i	Written_Burmese
hlj	hl j	lh	l̥ j	i m	i	Written_Burmese
hmr	hm r	mh r	m̥ r	i m	i	Written_Burmese
hmw	hm w	mh w	m̥ w	i m	i	Written_Burmese
jw	j w	y w	j w	i m	i	Written_Burmese
kr	k r	k r	k r	i m	i	Written_Burmese
krw	k rw	k r w	k r w	i m M	i	Written_Burmese
khj	kh j	kh y	kʰ j	i m	i	Written_Burmese
khjw	kh jw	kh y w	kʰ j w	i m M	i	Written_Burmese
khr	kh r	kh r	kʰ r	i m	i	Written_Burmese
kjw	kj w	k y w	k j w	i m M	i	Written_Burmese
mr	m r	m r	m r	i m	i	Written_Burmese
mrw	m r w	m r w	m r w	i m M	i	Written_Burmese
ŋr	ŋ r	ṅ r	ŋ r	i m	i	Written_Burmese
