ID	TOKENS	CONCEPT	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING
1	w iː b a n	*wīban	w iː b ( a n )	wiːban	*wīban	538	Proto-Germanic			
2	v ai p	*wīban	v ai b ( - - )	vaip	Weib	538	German			
3	ʋ aɪ f	*wīban	ʋ aɪ f ( - - )	ʋaɪf	wife	538	English			
4	ʋ ɛɪ f	*wīban	ʋ ɛɪ f ( - - )	ʋɛɪf	wijf	538	Dutch			
5	k u r n a n	*kurnan	k u r n ( a n )	kurnan	*kurnan	533	Proto-Germanic		C V C C	
6	k ɔ r n	*kurnan	k ɔ r n ( - - )	kɔrn	Korn	533	German			
7	k ɔː n	*kurnan	k ɔː - n ( - - )	kɔːn	corn	533	English			
8	k oː r ə	*kurnan	k oː r - ( ə - )	koːrə	koren	533	Dutch			
9	x ai m a z	*xaimaz	x ai m ( a z )	xaimaz	*xaimaz	532	Proto-Germanic			
10	h ai m	*xaimaz	h ai m ( - - )	haim	Heim	532	German			
11	h əʊ m	*xaimaz	h əʊ m ( - - )	həʊm	home	532	English			
12	h eː m	*xaimaz	h eː m ( - - )	heːm	heem	532	Dutch			
13	n i kʷ i z	*nikwiz	n i kʷ ( i z )	nikwiz	*nikwiz	4	Proto-Germanic			
14	n ɪ k s	*nikwiz	n ɪ k ( - s )	nɪks	Nix	4	German			
15	n ɪ k ə r	*nikwiz	n ɪ k ( ə r )	nɪkər	nikker	4	Dutch			
16	g ai s t a z	*gaistaz	g ai s t ( a z )	gaistaz	*gaistaz	5	Proto-Germanic		C V C C	
17	ɡ ai s t	*gaistaz	ɡ ai s t ( - - )	ɡaist	Geist	5	German			
18	ɡ əʊ s t	*gaistaz	ɡ əʊ s t ( - - )	ɡəʊst	ghost	5	English			
19	d r e n k a n a n	*drenkanan	d r e n k a n ( a n )	drenkanan	*drenkanan	6	Proto-Germanic		C C V C c v c	
20	t r ɪ ŋ k ə n	*drenkanan	t r ɪ ŋ k ə n ( - - )	trɪŋkən	trinken	6	German			
21	d r ɪ ŋ k	*drenkanan	d r ɪ ŋ k - - ( - - )	drɪŋk	drink	6	English			
22	d r ɪ ŋ k ə	*drenkanan	d r ɪ ŋ k ə - ( - - )	drɪŋkə	drinken	6	Dutch			
23	b oː s m a z	*bōsmaz	b oː s - m ( a z )	boːsmaz	*bōsmaz	7	Proto-Germanic		C V c - c	
24	b uː z ə n	*bōsmaz	b uː z ə n ( - - )	buːzən	Busen	7	German			
25	b ʊ z ə m	*bōsmaz	b ʊ z ə m ( - - )	bʊzəm	bosom	7	English			
26	b uː z ə m	*bōsmaz	b uː z ə m ( - - )	buːzəm	boezem	7	Dutch			
27	s t e r t a z	*stertaz	s t e r t ( a z )	stertaz	*stertaz	8	Proto-Germanic			
28	ʃ t ɛ r ts	*stertaz	ʃ t ɛ r ts ( - - )	ʃtɛrt͡s	Sterz	8	German			
29	s t ɑː t	*stertaz	s t ɑː - t ( - - )	stɑːt	start	8	English			
30	s t aː r t	*stertaz	s t aː r t ( - - )	staːrt	staart	8	Dutch			
31	b u kː a z	*bukkaz	b u kː ( a z )	bukkaz	*bukkaz	9	Proto-Germanic		C V C	
32	b ɔ k	*bukkaz	b ɔ k ( - - )	bɔk	Bock	9	German			
33	b ʌ k	*bukkaz	b ʌ k ( - - )	bʌk	buck	9	English			
34	b ɔ k	*bukkaz	b ɔ k ( - - )	bɔk	bok	9	Dutch			
35	m ai s oː n	*maisōn	m ai s ( oː n )	maisoːn	*maisōn	10	Proto-Germanic		C V C	
36	m ai z ə	*maisōn	m ai z ( ə - )	maizə	Meise	10	German			
37	m eː s	*maisōn	m eː s ( - - )	meːs	mees	10	Dutch			
38	x u r s t i z	*xurstiz	x u r s t ( i z )	xurstiz	*xurstiz	11	Proto-Germanic			
39	h ɔ r s t	*xurstiz	h ɔ r s t ( - - )	hɔrst	Horst	11	German			
40	h ɔ r s t	*xurstiz	h ɔ r s t ( - - )	hɔrst	horst	11	Dutch			
41	m a r k oː	*markō	m a r k oː	markoː	*markō	12	Proto-Germanic		C V c c v	
42	m a r k	*markō	m a r k -	mark	Mark	12	German	EXC		
43	m ɑː ʧ	*markō	m ɑː - ʧ -	mɑːʧ	march	12	English			
44	m ɑ r k	*markō	m ɑ r k -	mɑrk	mark	12	Dutch			
45	l e θ r a n	*leθran	l e θ - r ( a n )	leθran	*leθran	13	Proto-Germanic		C V C - C	
46	l eː d ə r	*leθran	l eː d ə r ( - - )	leːdər	Leder	13	German			
47	l ɛ ð ə r	*leθran	l ɛ ð ə r ( - - )	lɛðər	leather	13	English			
48	f l a s k oː	*flaskō	f l a s k oː	flaskoː	*flaskō	14	Proto-Germanic		C C V C c v	
49	f l a ʃ ə	*flaskō	f l a ʃ - ə	flaʃə	Flasche	14	German			
50	f l ɑː s k	*flaskō	f l ɑː s k -	flɑːsk	flask	14	English			
51	x a l m a z	*xalmaz	x a l m ( a z )	xalmaz	*xalmaz	15	Proto-Germanic			
52	h a l m	*xalmaz	h a l m ( - - )	halm	Halm	15	German			
53	h ɑ l m	*xalmaz	h ɑ l m ( - - )	hɑlm	halm	15	Dutch			
54	d uː b oː n	*dūbōn	d uː b oː ( n )	duːboːn	*dūbōn	16	Proto-Germanic		C V c v	
55	t au b ə	*dūbōn	t au b ə ( - )	taubə	Taube	16	German			
56	d ʌ v	*dūbōn	d ʌ v - ( - )	dʌv	dove	16	English			
57	d oː v ə	*dūbōn	d oː v ə ( - )	doːvə	dove	16	Dutch			
58	s k u l d i z	*skuldiz	s k u l d ( i z )	skuldiz	*skuldiz	17	Proto-Germanic			
59	ʃ ʊ l d	*skuldiz	ʃ - ʊ l d ( - - )	ʃʊlt	Schuld	17	German	BOR		
60	s x ʉ l t	*skuldiz	s x ʉ l t ( - - )	sxʉlt	schuld	17	Dutch			
61	x a f t j a n	*xaftjan	x a f t ( j a n )	xaftjan	*xaftjan	18	Proto-Germanic			
62	h ɛ f t	*xaftjan	h ɛ f t ( - - - )	hɛft	Heft	18	German			
63	h ɛ x t	*xaftjan	h ɛ x t ( - - - )	hɛxt	hecht	18	Dutch			
64	θ u r s t u z	*θurstuz	θ u r s t ( u z )	θurstuz	*θurstuz	19	Proto-Germanic			
65	d ʊ r s t	*θurstuz	d ʊ r s t ( - - )	dʊrst	Durst	19	German			
66	θ ɜː s t	*θurstuz	θ ɜː - s t ( - - )	θɜːst	thirst	19	English			
67	d ɔ r s t	*θurstuz	d ɔ r s t ( - - )	dɔrst	dorst	19	Dutch			
68	s p u r a n	*spuran	s p u r ( a n )	spuran	*spuran	20	Proto-Germanic			
69	ʃ p ɔ r n	*spuran	ʃ p ɔ r ( - n )	ʃpɔrn	Sporn	20	German			
70	s p ɜː r	*spuran	s p ɜː r ( - - )	spɜːr	spur	20	English			
71	s p oː r	*spuran	s p oː r ( - - )	spoːr	spoor	20	Dutch			
72	m ai n j a n a n	*mainjanan	m ai n j a n ( a n )	mainjanan	*mainjanan	21	Proto-Germanic		C V c c v c	
73	m ai n ə n	*mainjanan	m ai n - ə n ( - - )	mainən	meinen	21	German			
74	m iː n	*mainjanan	m iː n - - - ( - - )	miːn	mean	21	English			
75	m eː n ə	*mainjanan	m eː n - ə - ( - - )	meːnə	menen	21	Dutch			
76	x l iː b a n a n	*xlībanan	x l iː b a n a n	xliːbanan	*xlībanan	22	Proto-Germanic			
77	b l ai b ə n	*xlībanan	b l ai b ə - - n	blaibən	bleiben	22	German			
78	b l ɛɪ v ə	*xlībanan	b l ɛɪ v ə - - -	blɛɪvə	blijven	22	Dutch			
79	n a m oː n	*namōn	n a m oː ( n )	namoːn	*namōn	23	Proto-Germanic			
80	n aː m ə	*namōn	n aː m ə ( - )	naːmə	Name	23	German			
81	n eɪ m	*namōn	n eɪ m - ( - )	neɪm	name	23	English			
82	n aː m	*namōn	n aː m - ( - )	naːm	naam	23	Dutch			
83	x r iː s a n	*xrīsan	x r iː s ( a n )	xriːsan	*xrīsan	24	Proto-Germanic			
84	r ai s	*xrīsan	- r ai s ( - - )	rais	Reis	24	German			
85	r ɛɪ s	*xrīsan	- r ɛɪ s ( - - )	rɛɪs	rijs	24	Dutch			
86	e r θ o	*erθo	e r θ o	erθo	*erθo	25	Proto-Germanic		V C c v	
87	eː r d ə	*erθo	eː r d ə	eːrdə	Erde	25	German			
88	ɜː θ	*erθo	ɜː - θ -	ɜːθ	earth	25	English			
89	aː r d ə	*erθo	aː r d ə	aːrdə	aarde	25	Dutch			
90	x a w a n a n	*xawwanan	x - a w a n ( a n )	xawwanan	*xawwanan	26	Proto-Germanic			
91	h au ə n	*xawwanan	h - au - ə n ( - - )	hauən	hauen	26	German			
92	h j uː	*xawwanan	h j uː - - - ( - - )	hjuː	hew	26	English			
93	h ɑu ʋ ə	*xawwanan	h - ɑu ʋ ə - ( - - )	hɑuʋə	houwen	26	Dutch			
94	s k eː l oː	*skēlō	s k eː l oː	skeːloː	*skēlō	27	Proto-Germanic			
95	ʃ aː l ə	*skēlō	ʃ - aː l ə	ʃaːlə	Schale	27	German			
96	s x aː l	*skēlō	s x aː l -	sxaːl	schaal	27	Dutch			
97	g r u n d u z	*grunduz	g r u n d ( u z )	grunduz	*grunduz	28	Proto-Germanic		C C V C C	
98	ɡ r ʊ n t	*grunduz	ɡ r ʊ n d ( - - )	ɡrʊnt	Grund	28	German			
99	ɡ r aʊ n d	*grunduz	ɡ r aʊ n d ( - - )	ɡraʊnd	ground	28	English			
100	x r ɔ n t	*grunduz	x r ɔ n t ( - - )	xrɔnt	grond	28	Dutch			
101	d u r a n	*duran	d u r ( a n )	duran	*duran	29	Proto-Germanic		C V C	
102	t oː r	*duran	t oː r ( - - )	toːr	Tor	29	German			
103	d ɔː r	*duran	d ɔː r ( - - )	dɔːr	door	29	English			
104	s oː k j a n a n	*sōkjanan	s oː k j a n ( a n )	soːkjanan	*sōkjanan	30	Proto-Germanic			
105	z uː x ə n	*sōkjanan	z uː x - ə n ( - - )	zuːxən	suchen	30	German			
106	s iː k	*sōkjanan	s iː k - - - ( - - )	siːk	seek	30	English			
107	z uː k ə	*sōkjanan	z uː k - ə - ( - - )	zuːkə	zoeken	30	Dutch			
108	b l a d a n	*bladan	b l a d ( a n )	bladan	*bladan	31	Proto-Germanic		C C V C	
109	b l a t	*bladan	b l a t ( - - )	blat	Blatt	31	German			
110	b l ɑ t	*bladan	b l ɑ t ( - - )	blɑt	blad	31	Dutch			
111	x e r t oː n	*xertōn	x e r t ( oː n )	xertoːn	*xertōn	32	Proto-Germanic			
112	h ɛ r ts	*xertōn	h ɛ r ts ( - - )	hɛrt͡s	Herz	32	German			
113	h ɑː t	*xertōn	h ɑː - t ( - - )	hɑːt	heart	32	English			
