ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO
507	u t r a z	*utraz	u t - r ( a z )	utraz	*utraz	139	Proto-Germanic				adder	*utraz
508	ɔ t ə r	*utraz	ɔ t ə r ( - - )	ɔtər	Otter	139	German				adder	*utraz
509	æ d ə r	*utraz	æ d ə r ( - - )	ædər	adder	139	English				adder	*utraz
510	ɑ d ə r	*utraz	ɑ d ə r ( - - )	ɑdər	adder	139	Dutch				adder	*utraz
1428	b a k a n a n	*bakanan	b a kk a n ( a n )	bakanan	*bakanan	391	Proto-Germanic				bake	*bakanan
1429	b a k ə n	*bakanan	b a k ə n ( - - )	bakən	backen	391	German	BOR	C V c v c		bake	*bakanan
1430	b eɪ k	*bakanan	b eɪ k - - ( - - )	beɪk	bake	391	English				bake	*bakanan
1431	b ɑ k ə	*bakanan	b ɑ k ə - ( - - )	bɑkə	bakken	391	Dutch				bake	*bakanan
311	b a lː u z	*balluz	b a lː ( u z )	balluz	*balluz	87	Proto-Germanic				ball	*balluz
312	b a l	*balluz	b a l ( - - )	bal	Ball	87	German		C V C		ball	*balluz
313	b ɔː l	*balluz	b ɔː l ( - - )	bɔːl	ball	87	English				ball	*balluz
314	b ɑ l	*balluz	b ɑ l ( - - )	bɑl	bal	87	Dutch				ball	*balluz
518	b a nː a n	*bannan	b a nː ( a n )	bannan	*bannan	142	Proto-Germanic				ban	*bannan
519	b a n	*bannan	b a n ( - - )	ban	Bann	142	German		C V C		ban	*bannan
520	b æ n	*bannan	b æ n ( - - )	bæn	ban	142	English				ban	*bannan
521	b ɑ n	*bannan	b ɑ n ( - - )	bɑn	ban	142	Dutch				ban	*bannan
218	b e r g a n	*bergan	b e r g ( a n )	bergan	*bergan	61	Proto-Germanic		C V C C		barrow	*bergan
219	b ɛ r k	*bergan	b ɛ r k ( - - )	bɛrk	Berg	61	German				barrow	*bergan
220	b æ r əʊ	*bergan	b æ r əʊ ( - - )	bærəʊ	barrow	61	English				barrow	*bergan
221	b ɛ r x	*bergan	b ɛ r x ( - - )	bɛrx	berg	61	Dutch				barrow	*bergan
1631	b a s t a n	*bastan	b a s t ( a n )	bastan	*bastan	448	Proto-Germanic		C V C c v c		bast	*bastan
1632	b a s t	*bastan	b a s t ( - - )	bast	Bast	448	German		C V C C		bast	*bastan
1633	b æ s t	*bastan	b æ s t ( - - )	bæst	bast	448	English				bast	*bastan
1634	b ɑ s t	*bastan	b ɑ s t ( - - )	bɑst	bast	448	Dutch				bast	*bastan
1310	b a θ a n	*baθan	b a θ ( a n )	baθan	*baθan	360	Proto-Germanic		C V C?		bath	*baθan
1311	b aː d	*baθan	b aː d ( - - )	baːt	Bad	360	German				bath	*baθan
1312	b ɑː θ	*baθan	b ɑː θ ( - - )	bɑːθ	bath	360	English				bath	*baθan
1313	b ɑ t	*baθan	b ɑ t ( - - )	bɑt	bad	360	Dutch				bath	*baθan
1174	b a r d a z	*bardaz	b a r d ( a z )	bardaz	*bardaz	322	Proto-Germanic				beard	*bardaz
1175	b aː r t	*bardaz	b aː r t ( - - )	baːrt	Bart	322	German		C V C C		beard	*bardaz
1176	b ɪə d	*bardaz	b ɪə - d ( - - )	bɪəd	beard	322	English				beard	*bardaz
1177	b aː r t	*bardaz	b aː r t ( - - )	baːrt	baard	322	Dutch				beard	*bardaz
1851	b e b r u z	*bebruz	b e b - r ( u z )	bebruz	*bebruz	508	Proto-Germanic		C V C - C		beaver	*bebruz
1852	b iː b ə r	*bebruz	b iː b ə r ( - - )	biːbər	Biber	508	German				beaver	*bebruz
1853	b iː v ə r	*bebruz	b iː v ə r ( - - )	biːvər	beaver	508	English				beaver	*bebruz
1854	b eː v ə r	*bebruz	b eː v ə r ( - - )	beːvər	bever	508	Dutch				beaver	*bebruz
1862	b oː k oː	*bōkō	b oː k ( oː - - - )	boːkoː	*bōkō	511	Proto-Germanic		C V C		beech	*bōkō
1863	b uː x ə	*bōkō	b uː x ( ə - - - )	buːxə	Buche	511	German				beech	*bōkō
1864	b iː ʧ	*bōkō	b iː ʧ ( - - - - )	biːʧ	beech	511	English				beech	*bōkō
