# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	STRUCTURE
#
140	Rangoon	Adam's apple	140	ɑ²²si⁵³	/ʔ ɑ ²² + s i ⁵³	i n t + i n t
5074	Atsi	Adam's apple	140	khjuŋ²¹tsui⁵¹	kʰ j u ŋ ²¹ + ts u i ⁵¹	i m n c t + i m n t
6848	Maru	Adam's apple	140	laŋ²¹pau⁵⁵	l a ŋ ²¹ + p au ⁵⁵	i n c t + i n t
#
631	Rangoon	Buddha	629	bu⁵³jɑ⁵⁵	b u ⁵³ + /ʔ j ɑ ⁵⁵	i n t + i m n t
2410	Achang_Longchuan	Buddha	629	phă⁵⁵ʐa⁵⁵	pʰ ă ⁵⁵ + ʐ a ⁵⁵	i n t + i n t
5559	Atsi	Buddha	629	phə̆⁵⁵ʒa⁵¹	pʰ ə̆ ⁵⁵ + ʒ a ⁵¹	i n t + i n t
8945	Bola	Buddha	629	phə̆⁵⁵ʒa⁵⁵	ph ə̆ ⁵⁵ + ʒ a ⁵⁵	i n t + i n t
10617	Lashi	Buddha	629	puŋ³³kji̱⁵⁵	/ʔ p u ŋ ³³ + ˀk j i ⁵⁵	i m n i t + i m n t
#
163	Rangoon	Chinese (Han)	163	tɑ⁵³joʔ⁴lu²²mjo⁵⁵	t ɑ ⁵³ + /ʔ j o ʔ ⁴ + l u ²² + m j o ⁵⁵	i n t + i m n c t + i n t + i m n t
1983	Achang_Longchuan	Chinese (Han)	163	kă³¹phuaŋ³¹	k ă ³¹ + pʰ ua ŋ ³¹	i n t + i n c t
3636	Xiandao	Chinese (Han)	163	khaʔ³¹phɔŋ³¹	kh a ʔ ³¹ + ph ɔ ŋ ³¹	i n c t + i n c t
5097	Atsi	Chinese (Han)	163	mji²¹va²¹	m j i ²¹ + v a ²¹	i m n t + i n t
6869	Maru	Chinese (Han)	163	xa³¹vɔ³¹	x a ³¹ + v ɔ ³¹	i n t + i n t
8503	Bola	Chinese (Han)	163	xɛ⁵⁵va³¹	x ɛ ⁵⁵ + v a ³¹	i n t + i n t
10227	Lashi	Chinese (Han)	163	lə̆³¹xe̱i³³	l ə̆ ³¹ + ˀx ei ³³	i n t + i n t
#
728	Rangoon	February	725	kɑ̃²²shõ²²	k ɑ̃ ∼ ²² + sʰ õ ∼ ²²	i n c t + i n c t
2491	Achang_Longchuan	February	725	sək⁵⁵pau⁵¹l̥ɔ³⁵	s ə k ⁵⁵ + p au ⁵¹ + l̥ ɔ ³⁵	i n c t + i n t + i n t
4062	Xiandao	February	725	lɤn³¹sɔŋ³⁵	l ɤ n ³¹ + s ɔ ŋ ³⁵	i n c t + i n c t
5657	Atsi	February	725	lŏ̱⁵⁵mo⁵⁵i⁵⁵khjap⁵⁵	ˀl ŏ ⁵⁵ + m o ⁵⁵ + /ʔ i ⁵⁵ + kʰ j a p ⁵⁵	i n t + i n t + i n t + i m n c t
7366	Maru	February	725	lɔ̱⁵⁵ʃi̱k⁵⁵khjɛʔ⁵⁵	ˀl ɔ ⁵⁵ + ˀʃ i k ⁵⁵ + kh j ɛ ʔ ⁵⁵	i n t + i n c t + i m n c t
9038	Bola	February	725	ə³⁵jɛ³¹	/ʔ ə ³⁵ + /ʔ j ɛ ³¹	i n t + i m n t
10693	Lashi	February	725	lə̆⁵⁵mo⁵⁵ə̱k⁵⁵khjap⁵⁵	l ə̆ ⁵⁵ + m o ⁵⁵ + ˀ/ʔ ə k ⁵⁵ + kh j a p ⁵⁵	i n t + i n t + i n c t + i m n c t
#
846	Rangoon	I	843	ŋɑ²²	ŋ ɑ ²²	i n t
2602	Achang_Longchuan	I	843	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t
4167	Xiandao	I	843	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t
5776	Atsi	I	843	ŋo⁵¹	ŋ o ⁵¹	i n t
7478	Maru	I	843	ŋɔ³¹	ŋ ɔ ³¹	i n t
9159	Bola	I	843	ŋa⁵⁵	ŋ a ⁵⁵	i n t
10805	Lashi	I	843	ŋo³¹	ŋ o ³¹	i n t
11817	Old_Burmese	I	843	ṅa	ŋ a ²²	i n t
#
727	Rangoon	January	724	tɑ̃²²khu⁵⁵	t ɑ̃ ∼ ²² + kʰ u ⁵⁵	i n c t + i n t
2490	Achang_Longchuan	January	724	tă³¹pau⁵¹l̥ɔ³⁵	t ă ³¹ + p au ⁵¹ + l̥ ɔ ³⁵	i n t + i n t + i n t
4061	Xiandao	January	724	lɤn³¹ta³¹	l ɤ n ³¹ + t a ³¹	i n c t + i n t
5656	Atsi	January	724	lŏ̱⁵⁵mo⁵⁵lă²¹khjap⁵⁵	ˀl ŏ ⁵⁵ + m o ⁵⁵ + l ă ²¹ + kʰ j a p ⁵⁵	i n t + i n t + i n t + i m n c t
7365	Maru	January	724	lɔ̱⁵⁵tă³¹khjɛʔ⁵⁵	ˀl ɔ ⁵⁵ + t ă ³¹ + kh j ɛ ʔ ⁵⁵	i n t + i n t + i m n c t
9037	Bola	January	724	tʃin³⁵jɛ³¹	tʃ i n ³⁵ + /ʔ j ɛ ³¹	i n c t + i m n t
10692	Lashi	January	724	lə̆⁵⁵mo⁵⁵ta³¹khjap⁵⁵	l ə̆ ⁵⁵ + m o ⁵⁵ + t a ³¹ + kh j a p ⁵⁵	i n t + i n t + i n t + i m n c t
#
743	Rangoon	Monday	740	tɑ⁵³nĩ⁵⁵lɑ²²	t ɑ ⁵³ + n ĩ ∼ ⁵⁵ + l ɑ ²²	i n t + i n c t + i n t
5672	Atsi	Monday	740	jĭ⁵⁵pan²¹thaŋ⁵¹lă²¹ŋji⁵⁵	/ʔ j ĭ ⁵⁵ + p a n ²¹ + tʰ a ŋ ⁵¹ + l ă ²¹ + ŋ j i ⁵⁵	i m n t + i n c t + i n c t + i n t + i m n t
9053	Bola	Monday	740	lə̆³¹pan⁵¹ta³¹	l ə̆ ³¹ + p a n ⁵¹ + t a ³¹	i n t + i n c t + i n t
10707	Lashi	Monday	740	lə̆⁵⁵pan³¹ta³¹ŋjei⁵⁵	l ə̆ ⁵⁵ + p a n ³¹ + t a ³¹ + ŋ j ei ⁵⁵	i n t + i n c t + i n t + i m n t
#
749	Rangoon	New Year's Day	746	n̥iʔ⁴tθiʔ⁴	n̥ i ʔ ⁴ + tθ i ʔ ⁴	i n c t + i n c t
5678	Atsi	New Year's Day	746	tsan⁵¹sik⁵⁵	ts a n ⁵¹ + s i k ⁵⁵	i n c t + i n c t
7380	Maru	New Year's Day	746	tsəŋ³¹sa̱k⁵⁵	ts ə ŋ ³¹ + ˀs a k ⁵⁵	i n c t + i n c t
9059	Bola	New Year's Day	746	tɛ̃⁵⁵sak⁵⁵	t ɛ̃ ∼ ⁵⁵ + s a k ⁵⁵	i n c t + i n c t
10711	Lashi	New Year's Day	746	tsan³¹sə̱k⁵⁵	ts a n ³¹ + ˀs ə k ⁵⁵	i n c t + i n c t
#
1811	Rangoon	New Year's Day (in Burmese system, around April)	1794	tθĩ⁵⁵tɕɑ̃²²	tθ ĩ ∼ ⁵⁵ + tɕ ɑ̃ ∼ ²²	i n c t + i n c t
#
164	Rangoon	Tibetan	164	ti⁵³bɛʔ⁴lu²²mjo⁵⁵	t i ⁵³ + b ɛ ʔ ⁴ + l u ²² + m j o ⁵⁵	i n t + i n c t + i n t + i m n t
5098	Atsi	Tibetan	164	muŋ²¹phaŋ⁵⁵	m u ŋ ²¹ + pʰ a ŋ ⁵⁵	i n c t + i n c t
6870	Maru	Tibetan	164	tsaŋ³⁵tshuʔ ³¹	ts a ŋ ³⁵ + tsh u ʔ ³¹	i n c t + i n c t
8504	Bola	Tibetan	164	tsaŋ ³⁵	ts a ŋ ³⁵	i n c t
10228	Lashi	Tibetan	164	lə̆³¹sɿ³³	l ə̆ ³¹ + s ɿ ³³	i n t + i n t
#
744	Rangoon	Tuesday	741	ĩ²²gɑ²²	/ʔ ĩ ∼ ²² + g ɑ ²²	i n c t + i n t
5673	Atsi	Tuesday	741	jĭ⁵¹pan²¹thaŋ⁵¹i⁵⁵ŋji⁵⁵	/ʔ j ĭ ⁵¹ + p a n ²¹ + tʰ a ŋ ⁵¹ + /ʔ i ⁵⁵ + ŋ j i ⁵⁵	i m n t + i n c t + i n c t + i n t + i m n t
9054	Bola	Tuesday	741	lə̆³¹pan⁵¹i̱³⁵	l ə̆ ³¹ + p a n ⁵¹ + ˀ/ʔ i ³⁵	i n t + i n c t + i n t
#
1098	Rangoon	accomplish / succeed	1094	pji⁵⁵mjɑuʔ⁴	p j i ⁵⁵ + m j ɑ u ʔ ⁴	i m n t + i m n N c t
6033	Atsi	accomplish / succeed	1094	pa̱n⁵⁵	ˀp a n ⁵⁵	i n c t
7706	Maru	accomplish / succeed	1094	pəŋ³¹	p ə ŋ ³¹	i n c t
9408	Bola	accomplish / succeed	1094	pɛ̃⁵⁵	p ɛ̃ ∼ ⁵⁵	i n c t
11023	Lashi	accomplish / succeed	1094	paːn³¹ (pjɛ³¹)	p aː n ³¹ + /ʔ � p j ɛ ³¹ + /ʔ �	i n c t + i � i m n t + i �
#
1304	Rangoon	accumulate	1295	su⁵³	s u ⁵³	i n t
3029	Achang_Longchuan	accumulate	1295	xʐɔm³⁵	x ʐ ɔ m ³⁵	i m n c t
6238	Atsi	accumulate	1295	tsi̱ŋ²¹	ˀts i ŋ ²¹	i n c t
11189	Lashi	accumulate	1295	tsə̱ːŋ⁵⁵	ˀts əː ŋ ⁵⁵	i n c t
#
1608	Rangoon	accustomed to, be / habit of, haveve	1593	ɑ⁵³tɕĩ⁵³	/ʔ ɑ ⁵³ + tɕ ĩ ∼ ⁵³	i n t + i n c t
3317	Achang_Longchuan	accustomed to, be / habit of, haveve	1593	ȵ̥am³¹	ȵ̥ a m ³¹	i n c t
6543	Atsi	accustomed to, be / habit of, haveve	1593	man⁵⁵	m a n ⁵⁵	i n c t
8177	Maru	accustomed to, be / habit of, haveve	1593	məŋ⁵⁵	m ə ŋ ⁵⁵	i n c t
9904	Bola	accustomed to, be / habit of, haveve	1593	mɛ̃³⁵	m ɛ̃ ∼ ³⁵	i n c t
11458	Lashi	accustomed to, be / habit of, haveve	1593	maːn⁵⁵	m aː n ⁵⁵	i n c t
#
1562	Rangoon	ache (head)	1549	kɑiʔ⁴	k ɑi ʔ ⁴	i n c t
3274	Achang_Longchuan	ache (head)	1549	xə³¹	x ə ³¹	i n t
4744	Xiandao	ache (head)	1549	khɤ³¹	kh ɤ ³¹	i n t
6497	Atsi	ache (head)	1549	no⁵¹	n o ⁵¹	i n t
8133	Maru	ache (head)	1549	nɔ³¹	n ɔ ³¹	i n t
9859	Bola	ache (head)	1549	na⁵⁵	n a ⁵⁵	i n t
11419	Lashi	ache (head)	1549	nɔː³¹	n ɔː ³¹	i n t
#
1620	Rangoon	admire and envy	1605	ɑ⁵⁵tɕɑ⁵³	/ʔ ɑ ⁵⁵ + tɕ ɑ ⁵³	i n t + i n t
6555	Atsi	admire and envy	1605	mĕ²¹sa²¹	m ĕ ²¹ + s a ²¹	i n t + i n t
9916	Bola	admire and envy	1605	sə̆³¹kɔ̱t⁵⁵nau⁵⁵	s ə̆ ³¹ + ˀk ɔ t ⁵⁵ + n au ⁵⁵	i n t + i n c t + i n t
#
1101	Rangoon	admit	1097	wũ²²khɑ̃²²	/ʔ w ũ ∼ ²² + kʰ ɑ̃ ∼ ²²	i m n c t + i n c t
6036	Atsi	admit	1097	jin⁵⁵	/ʔ j i n ⁵⁵	i m n c t
7709	Maru	admit	1097	mə̆³¹xa³¹	m ə̆ ³¹ + x a ³¹	i n t + i n t
9411	Bola	admit	1097	ŋɔt⁵⁵	ŋ ɔ t ⁵⁵	i n c t
#
166	Rangoon	adult	166	lu²²tɕi⁵⁵	l u ²² + tɕ i ⁵⁵	i n t + i n t
1985	Achang_Longchuan	adult	166	tʂo⁵⁵kʐə³¹	tʂ o ⁵⁵ + k ʐ ə ³¹	i n t + i m n t
3638	Xiandao	adult	166	tʂu⁵⁵kɯ³¹	tʂ u ⁵⁵ + k ɯ ³¹	i n t + i n t
5100	Atsi	adult	166	ko̱²¹paŋ²¹	ˀk o ²¹ + p a ŋ ²¹	i n t + i n c t
6872	Maru	adult	166	ɣə³⁵mɔʔ⁵⁵	ɣ ə ³⁵ + m ɔ ʔ ⁵⁵	i n t + i n c t
8506	Bola	adult	166	kɔ̱⁵⁵maʔ⁵⁵	ˀk ɔ ⁵⁵ + m a ʔ ⁵⁵	i n t + i n c t
10230	Lashi	adult	166	kji³³paŋ⁵⁵	k j i ³³ + p a ŋ ⁵⁵	i m n t + i n c t
#
657	Rangoon	advantage / benefit	655	kɑ̃u⁵⁵tɕo⁵⁵	k ɑ̃ u ∼ ⁵⁵ + tɕ o ⁵⁵	i n N c t + i n t
