# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
#
140	Rangoon	Adam's apple	ɑ²²si⁵³	/ʔ ɑ ²² + s i ⁵³	i n t + i n t	/ʔ ɑ ²² + s i ⁵³	5 6
5074	Atsi	Adam's apple	khjuŋ²¹tsui⁵¹	kʰ j u ŋ ²¹ + ts u i ⁵¹	i m n c t + i m n t	kʰ j u ŋ ²¹ + ts u i ⁵¹	1 2
6848	Maru	Adam's apple	laŋ²¹pau⁵⁵	l a ŋ ²¹ + p au ⁵⁵	i n c t + i n t	l a ŋ ²¹ + p au ⁵⁵	3 4
#
631	Rangoon	Buddha	bu⁵³jɑ⁵⁵	b u ⁵³ + /ʔ j ɑ ⁵⁵	i n t + i m n t	b u ⁵³ + /ʔ j ɑ ⁵⁵	8 12
2410	Achang_Longchuan	Buddha	phă⁵⁵ʐa⁵⁵	pʰ ă ⁵⁵ + ʐ a ⁵⁵	i n t + i n t	pʰ ă ⁵⁵ + ʐ a ⁵⁵	8 9
5559	Atsi	Buddha	phə̆⁵⁵ʒa⁵¹	pʰ ə̆ ⁵⁵ + ʒ a ⁵¹	i n t + i n t	pʰ ə̆ ⁵⁵ + ʒ a ⁵¹	8 9
8945	Bola	Buddha	phə̆⁵⁵ʒa⁵⁵	ph ə̆ ⁵⁵ + ʒ a ⁵⁵	i n t + i n t	ph ə̆ ⁵⁵ + ʒ a ⁵⁵	8 9
10617	Lashi	Buddha	puŋ³³kji̱⁵⁵	/ʔ p u ŋ ³³ + ˀk j i ⁵⁵	i m n i t + i m n t	/ʔ p u + ˀk j i ⁵⁵	10 11
#
163	Rangoon	Chinese (Han)	tɑ⁵³joʔ⁴lu²²mjo⁵⁵	t ɑ ⁵³ + /ʔ j o ʔ ⁴ + l u ²² + m j o ⁵⁵	i n t + i m n c t + i n t + i m n t	t ɑ ⁵³ + /ʔ j o ʔ ⁴ + l u ²² + m j o ⁵⁵	26 27 2402 14211
